Date,Symbol,ShortVolume,ShortExemptVolume,TotalVolume,Market
20210329,ATVI,580262,5033,1949125,B,Q,N
20210324,ATVI,387885,250,1217991,B,Q,N
20210330,ATVI,410241,490,1332013,B,Q,N
20210318,ATVI,405943,1141,2054240,B,Q,N
20210319,ATVI,461804,395,1415996,B,Q,N
20210331,ATVI,251267,7318,961005,B,Q,N
20210325,ATVI,489750,6039,1029238,B,Q,N
20210326,ATVI,381205,1200,1775416,B,Q,N
20210322,ATVI,259943,6,927881,B,Q,N
20210323,ATVI,203107,358,1314747,B,Q,N
20210309,ATVI,366657,2973,1454504,B,Q,N
20210308,ATVI,481010,6755,1834561,B,Q,N
20210305,ATVI,613590,6957,1764070,B,Q,N
20210311,ATVI,248626,705,1022428,B,Q,N
20210310,ATVI,270554,354,1073907,B,Q,N
20210304,ATVI,640435,2472,1623422,B,Q,N
20210312,ATVI,235930,165,684223,B,Q,N
20210317,ATVI,380911,112,1338622,B,Q,N
20210303,ATVI,381056,6717,1388848,B,Q,N
20210302,ATVI,246712,4482,1016527,B,Q,N
20210316,ATVI,229586,1168,1160759,B,Q,N
20210315,ATVI,269080,4300,747507,B,Q,N
20210301,ATVI,604797,6259,1366855,B,Q,N
20210329,ATVI,580262,5033,1949125,B,Q,N
20210324,ATVI,387885,250,1217991,B,Q,N
20210330,ATVI,410241,490,1332013,B,Q,N
20210318,ATVI,405943,1141,2054240,B,Q,N
20210319,ATVI,461804,395,1415996,B,Q,N
20210331,ATVI,251267,7318,961005,B,Q,N
20210325,ATVI,489750,6039,1029238,B,Q,N
20210326,ATVI,381205,1200,1775416,B,Q,N
20210322,ATVI,259943,6,927881,B,Q,N
20210323,ATVI,203107,358,1314747,B,Q,N
20210309,ATVI,366657,2973,1454504,B,Q,N
20210308,ATVI,481010,6755,1834561,B,Q,N
20210305,ATVI,613590,6957,1764070,B,Q,N
20210311,ATVI,248626,705,1022428,B,Q,N
20210310,ATVI,270554,354,1073907,B,Q,N
20210304,ATVI,640435,2472,1623422,B,Q,N
20210312,ATVI,235930,165,684223,B,Q,N
20210317,ATVI,380911,112,1338622,B,Q,N
20210303,ATVI,381056,6717,1388848,B,Q,N
20210302,ATVI,246712,4482,1016527,B,Q,N
20210316,ATVI,229586,1168,1160759,B,Q,N
20210315,ATVI,269080,4300,747507,B,Q,N
20210301,ATVI,604797,6259,1366855,B,Q,N
20210329,ATVI,580262,5033,1949125,B,Q,N
20210324,ATVI,387885,250,1217991,B,Q,N
20210330,ATVI,410241,490,1332013,B,Q,N
20210318,ATVI,405943,1141,2054240,B,Q,N
20210319,ATVI,461804,395,1415996,B,Q,N
20210331,ATVI,251267,7318,961005,B,Q,N
20210325,ATVI,489750,6039,1029238,B,Q,N
20210326,ATVI,381205,1200,1775416,B,Q,N
20210322,ATVI,259943,6,927881,B,Q,N
20210323,ATVI,203107,358,1314747,B,Q,N
20210309,ATVI,366657,2973,1454504,B,Q,N
20210308,ATVI,481010,6755,1834561,B,Q,N
20210305,ATVI,613590,6957,1764070,B,Q,N
20210311,ATVI,248626,705,1022428,B,Q,N
20210310,ATVI,270554,354,1073907,B,Q,N
20210304,ATVI,640435,2472,1623422,B,Q,N
20210312,ATVI,235930,165,684223,B,Q,N
20210317,ATVI,380911,112,1338622,B,Q,N
20210303,ATVI,381056,6717,1388848,B,Q,N
20210302,ATVI,246712,4482,1016527,B,Q,N
20210316,ATVI,229586,1168,1160759,B,Q,N
20210315,ATVI,269080,4300,747507,B,Q,N
20210301,ATVI,604797,6259,1366855,B,Q,N
20210329,ATVI,580262,5033,1949125,B,Q,N
20210324,ATVI,387885,250,1217991,B,Q,N
20210330,ATVI,410241,490,1332013,B,Q,N
20210318,ATVI,405943,1141,2054240,B,Q,N
20210319,ATVI,461804,395,1415996,B,Q,N
20210331,ATVI,251267,7318,961005,B,Q,N
20210325,ATVI,489750,6039,1029238,B,Q,N
20210326,ATVI,381205,1200,1775416,B,Q,N
20210322,ATVI,259943,6,927881,B,Q,N
20210323,ATVI,203107,358,1314747,B,Q,N
20210309,ATVI,366657,2973,1454504,B,Q,N
20210308,ATVI,481010,6755,1834561,B,Q,N
20210305,ATVI,613590,6957,1764070,B,Q,N
20210311,ATVI,248626,705,1022428,B,Q,N
20210310,ATVI,270554,354,1073907,B,Q,N
20210304,ATVI,640435,2472,1623422,B,Q,N
20210312,ATVI,235930,165,684223,B,Q,N
20210317,ATVI,380911,112,1338622,B,Q,N
20210303,ATVI,381056,6717,1388848,B,Q,N
20210302,ATVI,246712,4482,1016527,B,Q,N
20210316,ATVI,229586,1168,1160759,B,Q,N
20210315,ATVI,269080,4300,747507,B,Q,N
20210301,ATVI,604797,6259,1366855,B,Q,N
20210329,ATVI,580262,5033,1949125,B,Q,N
20210324,ATVI,387885,250,1217991,B,Q,N
20210330,ATVI,410241,490,1332013,B,Q,N
20210318,ATVI,405943,1141,2054240,B,Q,N
20210319,ATVI,461804,395,1415996,B,Q,N
